,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,Repetition
10352,F1 Macro,0.9764123127727325,DBC,DBC,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10353,F1 Macro,0.2981508599649697,Listwise Deletion,SVC,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10354,F1 Macro,0.2901587301587301,Listwise Deletion,RF,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10355,F1 Macro,0.27071150097465885,Listwise Deletion,Ridge,0.7475562096715187,0.03788578729380777,0.018480021550872666,0.03735858720577073,,8.0
10356,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10357,F1 Macro,0.9919862162920223,"ACF, correlation-only",ACF+RF,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10358,F1 Macro,0.9754631333578702,"ACF, correlation-only",ACF+Ridge,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10359,F1 Macro,0.9919862162920223,"ACF, with covariable",ACF+SVC,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10360,F1 Macro,0.9919862162920223,"ACF, with covariable",ACF+RF,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10361,F1 Macro,0.9919862162920223,"ACF, with covariable",ACF+Ridge,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10362,F1 Macro,0.9111111111111111,KNN,KNN,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,6.9,8.0
10363,F1 Macro,0.9693627450980392,KNN,KNN+ROs,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,54.1,8.0
10364,F1 Macro,1.0,DBC,DBC,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10365,F1 Macro,0.2706750137669188,Listwise Deletion,SVC,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10366,F1 Macro,0.3609767025089606,Listwise Deletion,RF,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10367,F1 Macro,0.3239295322823083,Listwise Deletion,Ridge,0.7397698351033509,0.03696002129864854,0.018983362890815453,0.037281676607361106,,8.0
10368,F1 Macro,0.975958648876067,"ACF, correlation-only",ACF+SVC,0.7316213830356422,0.036385637586368584,0.020387447375452367,0.041490650144979574,,8.0
