,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,a_size,b_size,c_size,Repetition
992,F1 Macro,0.9606871879545543,DBC,DBC,0.81,0.05130571972697941,0.019534348166093396,0.041523937820424975,,30.0,70.0,50.0,3.0
993,F1 Macro,0.28803050532022495,Listwise Deletion,SVC,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
994,F1 Macro,0.29657555564082555,Listwise Deletion,RF,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
995,F1 Macro,0.28702773583678276,Listwise Deletion,Ridge,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
996,F1 Macro,0.9849238655208804,"ACF, correlation-only",ACF+SVC,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
997,F1 Macro,1.0,"ACF, correlation-only",ACF+RF,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
998,F1 Macro,0.9675637400095605,"ACF, correlation-only",ACF+Ridge,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
999,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
1000,F1 Macro,0.988358208955224,"ACF, with covariable",ACF+RF,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
1001,F1 Macro,0.9866827478767778,"ACF, with covariable",ACF+Ridge,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
1002,F1 Macro,0.8096140737650172,KNN,KNN,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,6.3,33.0,67.0,50.0,3.0
1003,F1 Macro,0.9039281705948373,KNN,KNN+ROs,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,72.6,33.0,67.0,50.0,3.0
1004,F1 Macro,0.9925186099577301,DBC,DBC,0.81,0.05157275184442439,0.021349464166814963,0.03923659743805556,,33.0,67.0,50.0,3.0
1005,F1 Macro,0.3327717041367058,Listwise Deletion,SVC,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1006,F1 Macro,0.3698150924537731,Listwise Deletion,RF,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1007,F1 Macro,0.333563217399925,Listwise Deletion,Ridge,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1008,F1 Macro,0.9720392329087981,"ACF, correlation-only",ACF+SVC,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1009,F1 Macro,0.9927211849910834,"ACF, correlation-only",ACF+RF,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1010,F1 Macro,0.9644444444444445,"ACF, correlation-only",ACF+Ridge,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1011,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1012,F1 Macro,0.9706959706959707,"ACF, with covariable",ACF+RF,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1013,F1 Macro,0.9786666666666667,"ACF, with covariable",ACF+Ridge,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1014,F1 Macro,0.8458119785705992,KNN,KNN,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,13.9,36.0,64.0,50.0,3.0
1015,F1 Macro,0.9307902372418502,KNN,KNN+ROs,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,81.5,36.0,64.0,50.0,3.0
1016,F1 Macro,0.9786666666666667,DBC,DBC,0.81,0.05127410509244659,0.01833688316078791,0.03819720459894141,,36.0,64.0,50.0,3.0
1017,F1 Macro,0.3999658994032395,Listwise Deletion,SVC,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1018,F1 Macro,0.3198076923076923,Listwise Deletion,RF,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1019,F1 Macro,0.3544226359760341,Listwise Deletion,Ridge,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1020,F1 Macro,0.9930836532143722,"ACF, correlation-only",ACF+SVC,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1021,F1 Macro,1.0,"ACF, correlation-only",ACF+RF,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1022,F1 Macro,0.9659888440376246,"ACF, correlation-only",ACF+Ridge,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1023,F1 Macro,0.9930257697806605,"ACF, with covariable",ACF+SVC,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1024,F1 Macro,0.9930836532143722,"ACF, with covariable",ACF+RF,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1025,F1 Macro,0.9790773093419812,"ACF, with covariable",ACF+Ridge,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1026,F1 Macro,0.854202055726036,KNN,KNN,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,11.6,40.0,60.0,50.0,3.0
1027,F1 Macro,0.9372319280259442,KNN,KNN+ROs,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,75.7,40.0,60.0,50.0,3.0
1028,F1 Macro,0.9654182660718608,DBC,DBC,0.81,0.050369231559473676,0.01799808387656346,0.04549583836064032,,40.0,60.0,50.0,3.0
1029,F1 Macro,0.28767358077360067,Listwise Deletion,SVC,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1030,F1 Macro,0.30169753086419754,Listwise Deletion,RF,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1031,F1 Macro,0.3314428089040422,Listwise Deletion,Ridge,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1032,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1033,F1 Macro,0.9864001087991295,"ACF, correlation-only",ACF+RF,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1034,F1 Macro,0.9534356351236145,"ACF, correlation-only",ACF+Ridge,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1035,F1 Macro,0.9932187298681043,"ACF, with covariable",ACF+SVC,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1036,F1 Macro,0.9931798806479112,"ACF, with covariable",ACF+RF,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1037,F1 Macro,0.9864718614718614,"ACF, with covariable",ACF+Ridge,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1038,F1 Macro,0.8998998998998999,KNN,KNN,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,30.9,43.0,57.0,50.0,3.0
1039,F1 Macro,0.9323593073593073,KNN,KNN+ROs,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,69.9,43.0,57.0,50.0,3.0
1040,F1 Macro,0.9932187298681043,DBC,DBC,0.81,0.05028972445597655,0.018064360176402228,0.04282745671051272,,43.0,57.0,50.0,3.0
1041,F1 Macro,0.31978087455615545,Listwise Deletion,SVC,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1042,F1 Macro,0.33597224891028427,Listwise Deletion,RF,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1043,F1 Macro,0.29183095195032255,Listwise Deletion,Ridge,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1044,F1 Macro,0.9731615673644659,"ACF, correlation-only",ACF+SVC,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1045,F1 Macro,0.9865807836822329,"ACF, correlation-only",ACF+RF,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1046,F1 Macro,0.9731615673644659,"ACF, correlation-only",ACF+Ridge,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1047,F1 Macro,0.9932788923614612,"ACF, with covariable",ACF+SVC,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1048,F1 Macro,0.9868759277361429,"ACF, with covariable",ACF+RF,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1049,F1 Macro,1.0,"ACF, with covariable",ACF+Ridge,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1050,F1 Macro,0.9180402045189978,KNN,KNN,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,23.3,46.0,54.0,50.0,3.0
1051,F1 Macro,0.8976658535418759,KNN,KNN+ROs,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,59.1,46.0,54.0,50.0,3.0
1052,F1 Macro,0.9595959595959597,DBC,DBC,0.81,0.050781968650350374,0.01435735559050616,0.039740610927370176,,46.0,54.0,50.0,3.0
1053,F1 Macro,0.3027428922921544,Listwise Deletion,SVC,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
1054,F1 Macro,0.32023208273208276,Listwise Deletion,RF,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
1055,F1 Macro,0.31485380116959066,Listwise Deletion,Ridge,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
1056,F1 Macro,0.9799819837854069,"ACF, correlation-only",ACF+SVC,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
1057,F1 Macro,0.97999799979998,"ACF, correlation-only",ACF+RF,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
1058,F1 Macro,0.9601313464679802,"ACF, correlation-only",ACF+Ridge,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
1059,F1 Macro,0.9933326665999934,"ACF, with covariable",ACF+SVC,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
1060,F1 Macro,0.97999799979998,"ACF, with covariable",ACF+RF,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
1061,F1 Macro,0.9799960388195683,"ACF, with covariable",ACF+Ridge,0.81,0.05101691023848473,0.018800458746385335,0.041543517680850836,,50.0,50.0,50.0,3.0
