,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,size
886,F1 Macro,0.9261345852895149,KNN,KNN+ROs,0.81,0.05112249497990922,0.023586252861489104,0.03558499268226553,106.6,178.0
887,F1 Macro,0.9866757000903342,DBC,DBC,0.81,0.05112249497990922,0.023586252861489104,0.03558499268226553,106.6,178.0
888,F1 Macro,0.9815485061386702,ACF,ACF+SVC,0.81,0.05145727739685979,0.0218959767064186,0.03730837273180079,,197.0
889,F1 Macro,0.9877899877899878,ACF,ACF+RF,0.81,0.05145727739685979,0.0218959767064186,0.03730837273180079,,197.0
890,F1 Macro,0.9815485061386702,ACF,ACF+Ridge,0.81,0.05145727739685979,0.0218959767064186,0.03730837273180079,,197.0
891,F1 Macro,0.8795439942648065,KNN,KNN,0.81,0.05145727739685979,0.0218959767064186,0.03730837273180079,7.0,197.0
892,F1 Macro,0.904166232760788,KNN,KNN+ROs,0.81,0.05145727739685979,0.0218959767064186,0.03730837273180079,94.7,197.0
893,F1 Macro,0.9877899877899878,DBC,DBC,0.81,0.05145727739685979,0.0218959767064186,0.03730837273180079,94.7,197.0
894,F1 Macro,1.0,ACF,ACF+SVC,0.81,0.05109801259155047,0.024059688712217975,0.03867304982147576,,215.0
895,F1 Macro,1.0,ACF,ACF+RF,0.81,0.05109801259155047,0.024059688712217975,0.03867304982147576,,215.0
896,F1 Macro,0.9887631620304888,ACF,ACF+Ridge,0.81,0.05109801259155047,0.024059688712217975,0.03867304982147576,,215.0
897,F1 Macro,0.8628552915628177,KNN,KNN,0.81,0.05109801259155047,0.024059688712217975,0.03867304982147576,9.7,215.0
898,F1 Macro,0.960816010434499,KNN,KNN+ROs,0.81,0.05109801259155047,0.024059688712217975,0.03867304982147576,93.5,215.0
899,F1 Macro,0.9834806214982961,DBC,DBC,0.81,0.05109801259155047,0.024059688712217975,0.03867304982147576,93.5,215.0
900,F1 Macro,0.9895622895622895,ACF,ACF+SVC,0.81,0.050668951208724305,0.020248962256877195,0.03692375638220732,,234.0
901,F1 Macro,0.9948149263217756,ACF,ACF+RF,0.81,0.050668951208724305,0.020248962256877195,0.03692375638220732,,234.0
902,F1 Macro,0.9842391580659923,ACF,ACF+Ridge,0.81,0.050668951208724305,0.020248962256877195,0.03692375638220732,,234.0
903,F1 Macro,0.8230254994436897,KNN,KNN,0.81,0.050668951208724305,0.020248962256877195,0.03692375638220732,9.4,234.0
904,F1 Macro,0.9533343368959807,KNN,KNN+ROs,0.81,0.050668951208724305,0.020248962256877195,0.03692375638220732,81.2,234.0
905,F1 Macro,0.9895622895622895,DBC,DBC,0.81,0.050668951208724305,0.020248962256877195,0.03692375638220732,81.2,234.0
